company,segment,city,revenue_band,website,decision_maker,role,contact_channel,contact_value,source,hook,tariff_hypo,priority,status,notes
"Кариесу.нет, центр стоматологии",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",kariesy.net,—,Собственник/директор (уточнить),Телефон,+74950858791,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: Новочерёмушкинская улица, 21 к1; филиалов: 5; email: doctor@kariesy.net; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Брэйн Марк, стоматологический центр имплантации зубов",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",brainmark.ru,—,Собственник/директор (уточнить),Телефон,+74994908500,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: 2-я Тверская-Ямская улица, 20-22 ст2; филиалов: 4; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"П-Дент, сеть стоматологических комплексов",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",pdent.pro/,—,Собственник/директор (уточнить),Телефон,+74996886907,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: 1-я Дубровская улица, 1 к2; филиалов: 4; email: proletarskaya@pdent.pro; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Добрый доктор в Марьино, стоматологическая клиника",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",mydent-msk.ru,—,Собственник/директор (уточнить),Телефон,+74952560080,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: Люблинская улица, 165 к2; филиалов: 3; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Белый кролик, стоматологическая клиника",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",rabbitstom.ru,—,Собственник/директор (уточнить),Телефон,+74954890116,"2ГИС, рубрика «Частные стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: Новокузнецкая улица, 33 ст1; филиалов: 3; email: info@rabbitstom.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Дентал Фэнтези, детская стоматологическая клиника",Клиники/медицина,Москва,"15-100млн (гипотеза, проверить)",dentalfantasy.ru,—,Собственник/директор (уточнить),Телефон,+74958432182,"2ГИС, рубрика «Частные детские стоматологии», г.Москва",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,A,Новая,"адрес: проспект Мира, 36 ст1; филиалов: 6; email: info@dentalfantasy.ru, 6406900@dentalfantasy.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Центр Стоматологии,Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",стоматологияказани.рф,—,Собственник/директор (уточнить),Телефон,+78432072752,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: проспект Альберта Камалеева, 34; email: centrstomat@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Анатомия улыбки, сеть стоматологических клиник",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",anatomiya-ulibki.ru,—,Собственник/директор (уточнить),Телефон,+78432041140,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: проспект Победы, 78; филиалов: 3; email: anatomiya-ulibki@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Dental Center, стоматология",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",dentc.ru,—,Собственник/директор (уточнить),Телефон,+78432041700,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: улица Академика Губкина, 5; доп.тел: +79297201700; email: center_dental@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Камил-Дент, стоматология",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",kamildent.ru,—,Собственник/директор (уточнить),Телефон,+78432555160,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: Чистопольская улица, 75; email: kamil-dent@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Азино, сеть стоматологических клиник",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",stomat-kazan.ru,—,Собственник/директор (уточнить),Телефон,+78435243040,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: улица Академика Глушко, 8; филиалов: 3; email: stoma.azino@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"ЗУБНАЯ ЛЕЧЕБНИЦА, стоматологическая клиника",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",zubnal.ru,—,Собственник/директор (уточнить),Телефон,+78432123276,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: проспект Альберта Камалеева, 12; email: info@zubnal.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Призматика, стоматологическая клиника",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",prismatica-clinic.ru,—,Собственник/директор (уточнить),Телефон,+78435004286,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: проспект Альберта Камалеева, 34в; email: pr1zmatica@yandex.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Формула Улыбки, клиника семейной стоматологии",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",formulastom.ru,—,Собственник/директор (уточнить),Телефон,+78432045495,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: улица Карбышева, 50; доп.тел: +79179093625; email: formulastom@yandex.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Миллидент, сеть стоматологических клиник",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",millident.ru,—,Собственник/директор (уточнить),Телефон,+78435587173,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: улица Абжалилова, 19; филиалов: 5; email: millident@mail.ru, millident2@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Понятная Стоматология,Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",понятнаястоматология.рф,—,Собственник/директор (уточнить),Телефон,+79870097575,"2ГИС, рубрика «Частные стоматологии», г.Казань",Утечка медкарт = штраф до 15 млн ₽ + риск лицензии. Закроем 152-ФЗ под ключ,Silver,B,Новая,"адрес: улица Декабристов, 162; email: ponyatnayastom@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Ам Медика, медицинский центр",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),Телефон,+78435585895,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: улица Пушкина, 1/55; email: ammedica@yandex.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Забота Мед, медицинский центр",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",zabotamed16.ru,—,Собственник/директор (уточнить),Телефон,+78432448578,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: Товарищеская улица, 25Б; email: zabotamed@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"ЗВЕЗДА, сеть медицинских центров",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",starclinic.ru,—,Собственник/директор (уточнить),Телефон,+78432910013,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: улица Карла Маркса, 46; филиалов: 6; email: info@starclinic.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Онкопрофи,Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",oncoprofi.ru,—,Собственник/директор (уточнить),Телефон,+78432150003,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: Сибирский тракт, 23; email: oncoprofi@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Клиника семейной медицины+,Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),—,—,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: проспект Ямашева, 48Б; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"МЕДЕЛ, многопрофильная клиника",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),—,—,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: Сибирский тракт, 34 к5; филиалов: 3; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"СКАНДИНАВИЯ, многопрофильная клиника",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),—,—,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: Профсоюзная улица, 19/15; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Luciano Clinic, медицинский оздоровительный центр",Клиники/медицина,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),—,—,"2ГИС, рубрика «Многопрофильные медицинские центры», г.Казань","Спецкатегория ПДн (здоровье) — высшие требования 152-ФЗ, проверки РКН/Росздравнадзора",Silver,B,Новая,"адрес: улица Островского, 26; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Деловые услуги, сервис для бизнеса",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),Телефон,+79372880825,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: улица Журналистов, 100/1; доп.тел: +79050392243; email: delusprod@gmail.com; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"ГлавБух, фирма",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),Телефон,+79600347157,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: улица Габдуллы Тукая, 64; доп.тел: +79872679900; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"ВИПЧек, центр бухгалтерской документации",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",vipchek.2gis.biz,—,Собственник/директор (уточнить),Телефон,+79274173002,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: Меридианная улица, 26Б; email: 89274173002@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Налоговая консультация,Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",nknalog.ru,—,Собственник/директор (уточнить),Телефон,+78432502635,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: улица Короленко, 65; филиалов: 6; email: info@nknalog.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"еМуслим, центр обслуживания бизнеса",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",eMuslim.ru,—,Собственник/директор (уточнить),Телефон,+79991623399,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: Гвардейская улица, 54; доп.тел: +78432454600; email: info@emuslim.ru, 1cbo@emuslim.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Бухгалтер и Я, компания бухгалтерских и юридических услуг",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",бухгалтерказань.рф,—,Собственник/директор (уточнить),Телефон,+78432101727,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: улица Маршала Чуйкова, 2 блок А; доп.тел: +78432406106; email: vash_buh80@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Главбухэксперт, центр бухгалтерского обслуживания бизнеса",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",glavbuh-expert.pro,—,Собственник/директор (уточнить),Телефон,+79172677611,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: улица Аделя Кутуя, 106Б; филиалов: 2; доп.тел: +79674696812; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Консультационный центр,Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),Телефон,+78432494865,"2ГИС, рубрика «Бухгалтерские услуги», г.Казань",Утечка данных клиентов = потеря всех клиентов разом + штраф оператора ПДн,Bronze,B,Новая,"адрес: улица Гарифьянова, 9а; филиалов: 2; доп.тел: +79662603780, +79272494865; email: konsul_centr@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Столица, юридический центр",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",юрист116.рф,—,Собственник/директор (уточнить),Телефон,+78432110877,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: улица Четаева, 42а; email: ucs116@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Росбанкрот, федеральная юридическая компания",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",rosbankrot.com,—,Собственник/директор (уточнить),Телефон,88007079779,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: улица Габдуллы Тукая, 5; доп.тел: +78432161717; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Титан, экспертно-правовой центр",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",titankzn.ru,—,Собственник/директор (уточнить),Телефон,+78435004720,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: Чистопольская улица, 83; email: titanexpertkzn@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Кормильцев и партнёры, коллегия адвокатов по уголовным делам",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",www.16advokat.ru,—,Собственник/директор (уточнить),Телефон,+79662403797,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: улица Академика Губкина, 37; доп.тел: +79625587972; email: akpartners116@gmail.com; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Кариатида, юридическая компания",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),Телефон,+79872731796,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: улица Вишневского, 26/1; email: elzaabd@mail.ru; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
"Законный Вердикт, юридическая компания",Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",—,—,Собственник/директор (уточнить),Телефон,+79033077718,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: Чистопольская улица, 73; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
Адвокатский кабинет Шакирова И.С.,Бухгалтерия/юристы,Казань,"15-100млн (гипотеза, проверить)",agvokatshakir.2gis.biz,—,Собственник/директор (уточнить),Телефон,+79600645782,"2ГИС, рубрика «Юридические услуги», г.Казань",Хранят ПДн десятков клиентов-юрлиц — ответственны как операторы ПДн,Bronze,B,Новая,"адрес: Гвардейская улица, 22; доп.тел: +79050220721; проверить выручку в Rusprofile/ЕГРЮЛ перед звонком; сверить с реестром операторов ПДн РКН"
